Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Cover Photo,Author,Illustrator,Publisher,Featured,Copyright Year,ISBN,Awards,Publisher Summary,Chapter/Picture,Languaging,Translator,Languages,Grade Levels,Genres,Topics,Content Standards,WIDA Standards,Translanguaging Typology,Representation,Action Link,Action Link Label
Abuela,abuela,6165b59ceb6eb980da286f0f,6165b59ceb6eb97444286f66,Mon Aug 30 2021 17:05:17 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:09:44 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,,,,
Abuelita full of life/Abuelita llena de vida,abuelita-full-of-life-abuelita-llena-de-vida,6165b59ceb6eb980da286f0f,6165b59ceb6eb98c6f286fb0,Tue Aug 10 2021 20:44:10 GMT+0000 (Coordinated Universal Time),Tue Aug 31 2021 18:42:35 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181f3d610327431a4f08d1_Abuelita%20full%20of%20life.jpg,Amy Costales,Martha Avilés,Luna Rising,true,,10: 0-87358-914-9,,Jose is not sure what to expect when his grandmother from Mexico moves in...except that he will certainly have to change his ways. What he discovers is that he doesn't mind one bit. Abuelita is full of surprises! She is full of life!,Picture Book,Interlingual,"Translation etided by Straightline Editorial Department, Inc., with a special thank you to Alicia Fontán",spanish; english,primary-k-2,fiction,,,,<p>Traditional Bilingual</p>,mexican-american,,
Alma and How She Got Her Name,alma-and-how-she-got-her-name,6165b59ceb6eb980da286f0f,6165b59ceb6eb9c0b6286faf,Tue Aug 10 2021 20:44:10 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:16 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181efdf9bf69107af5d7f2_Alma%20and%20how%20she%20got%20her%20name.jpg,Juana Martinez-Neal,Juana Martinez-Neal,Candlewick Press,true,2018,978-0-7636-9355-8,Caldecott Honor,"If you ask her, Alma Sofia Esperanza José Pura Candela has way too many names: six! How did such a small person wind up with such a large name? Alma turns to Daddy for an answer and learns of Sofia, the grandmother who loved books and flowers; Esperanza, the great-grandmother who longed to travel; José, the grandfather who was an artist; and other namesakes, too. As she hears the story of her name, Alma starts to think it might be a perfect fit after all — and realizes that she will one day have her own story to tell. In her author-illustrator debut, Juana Martinez-Neal opens a treasure box of discovery for children who may be curious about their own origin stories or names.",Picture Book,Interlingual,,english,primary-k-2,fiction,culture,,,<p>Illustrations Only</p>,,,
Carmela Full of Wishes,carmela-full-of-wishes,6165b59ceb6eb980da286f0f,6165b59ceb6eb9cdbd286fae,Tue Aug 10 2021 20:44:11 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 14:42:57 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181ed0c44327d1e5d057d8_carmela%20full%20of%20wishes.jpeg,Matt de la Peña,Christian Robinson,G. P. Putnam's Sons,false,2018,9780399549045,,"When Carmela wakes up on her birthday, her wish has already come true–she’s finally old enough to join her big brother as he does the family errands. Together, they travel through their neighborhood, past the crowded bus stop, the fenced-off repair shop, and the panadería, until they arrive at the Laundromat, where Carmela finds a lone dandelion growing in the pavement. But before she can blow its white fluff away, her brother tells her she has to make a wish. If only she can think of just the right wish to make . . . ",Picture Book,Interlingual,,spanish; english,primary-k-2,fiction,family,,,,,https://www.penguinrandomhouse.com/books/549616/carmela-full-of-wishes-by-matt-de-la-pena-illustrated-by-christian-robinson/,
Chef Roy Choi and the Street Food Remix,chef-roy-choi-and-the-street-food-remix,6165b59ceb6eb980da286f0f,6165b59ceb6eb9bf3d286fab,Tue Jul 20 2021 19:24:39 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:12 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/60f723c237552289b1266f83_Chef%20Roy%20Choi%20and%20the%20Street%20Food%20Remix.jpg,Jacqueline Briggs Martin and June Jo Lee,Man One,Readers to Eaters,true,2017,,2018 Sibert Honor,"""Sohn maash"" is the flavors in our fingertips. It is the love and cooking talent that Korean mothers and grandmothers mix into their handmade foods. For Chef Roy Choi, food means love. It also means culture, not only of Korea where he was born, but the many cultures that make up the streets of Los Angeles, where he was raised. So remixing food from the streets, just like good music—and serving it up from a truck—is true to L.A. food culture. People smiled and talked as they waited in line. Won't you join him as he makes good food smiles?",Picture Book,Interlingual,,english; korean,primary-k-2,non-fiction; biography,food; traditions-customs,,,,korean-american,,
Como Se Llama?,como-se-llama,6165b59ceb6eb980da286f0f,6165b59ceb6eb9e262286f67,Mon Aug 30 2021 17:05:18 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:43:56 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,,,,
Dear Juno,dear-juno,6165b59ceb6eb980da286f0f,6165b59ceb6eb9feb8286fad,Tue Aug 10 2021 20:44:13 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:19 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181e1b610327390e4eeb94_dear%20juno%20by%20soyung%20pak.jpg,Soyung Pak,Susan Kathleen Hartung,Scholastic,true,,9780439779364,,"Juno's grandmother writes in Korean, and Juno writes in drawings, but that doesn't mean they can't exchange letters. From the photo his grandmother sends him, Juno can tell that she has a new cat. From the picture he makes for her, Juno's grandmother can tell that he wants her to come for a visit. So she sends Juno a miniature plane to let him know she's on the way. This tender tale is a perfect introduction to the concept of foreign cultures and far-off lands.",Picture Book,Interlingual,,english; korean,primary-k-2,fiction,,,,,,,
Dear Primo: A Letter to My Cousin,dear-primo-a-letter-to-my-cousin,6165b59ceb6eb980da286f0f,6165b59ceb6eb92c3a286fac,Tue Aug 10 2021 20:44:13 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:29 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/60f7252e86b2b2ba9a3b6f53_Dear%20Primo%20-%20A%20Letter%20to%20My%20Cousin.jpg,Duncan Tonatiuh,Duncan Tonatiuh,Abrams Books,true,2010,978-0-8109-3872-4,Pura Belpré Honor Book,"Meet Charlie and Carlitos. Charlie lives in America. Carlitos, his primo, lives in Mexico. Charlie takes the subway to school, plays basketball with his friends, and loves pizza. Carlitos rides his bicicleta to school and enjoys playing fútbol at recess, and his favorite meal is quesadillas. Their lives appear different, but do Charlie and Carlitos have more in common than it seems? Through his artwork and story, award-winning author and illustrator Duncan Tonatiuh introduces young readers to a very timely idea—that community is larger than just neighborhoods and schools.",Picture Book,Interlingual,,english; spanish,primary-k-2,fiction,family; culture; traditions-customs,"<p><strong>CCSS.ELA-LITERACY.RL.2.6</strong></p><p>Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud.</p><p><strong>MA History and Social Science Framework</strong></p><p><strong>2.T41.</strong> Recognize the difference between physical geography and political geography.</p><p><strong>2T4.2.</strong> Explain the characteristics of a country.</p>",<p><strong>ELD-SI.K-3. Narrate</strong></p><p>Share ideas about one’s own and others’ lived experiences and previous learning</p><p>Connect stories with images and representations to add meaning Engage and adjust for audience through…</p><p>Language to address reader/listener and draw them in (It was so exciting!)</p>,<p>Comprehensive Text and Illustration Integration</p>,mexican-american,,
"Diego Rivera, His World and Ours",diego-rivera-his-world-and-ours,6165b59ceb6eb980da286f0f,6165b59ceb6eb99abf286fb9,Mon Aug 30 2021 17:05:19 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 16:16:41 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614df8607530f6b317067dfe_9780810997318_s3.jpg,Duncan Tonatiuh,,Abrams Books for Young Readers,false,2011,9780810997318,"2012 Pura Belpré Illustrator Award Winner, 2012 Tomás Rivera Mexican American Children’s Book Award","Diego Rivera, one of the most famous painters of the twentieth century, was once just a mischievous little boy who loved to draw. But this little boy would grow up to follow his passion and greatly influence the world of art. ",Picture Book,Bilingual,,spanish,primary-k-2; intermediate-3-6,biography,history; culture,,,,mexican,,
Drawn Together,drawn-together,6165b59ceb6eb980da286f0f,6165b59ceb6eb906dd286fb5,Mon Aug 30 2021 17:05:19 GMT+0000 (Coordinated Universal Time),Sat Sep 25 2021 18:25:25 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/6141619f3149ea2d0d101486_Drawn%20Together.jpg,Minh Le,Dan Santat,"Little, Brown Young Readers",true,2018,9781368022507,"2019 APALA Award, 2019 ALSC Notable Children's Book,. 2019 Charlotte Huck Recommended Book, 2019 ILA Notable Book for a Global Society","When a young boy visits his grandfather, their lack of a common language leads to confusion, frustration, and silence. But as they sit down to draw together, something magical happens — with a shared love of art and storytelling, the two form a bond that goes beyond words. (pub summary)",Picture Book,Interlingual,,english; thai,primary-k-2; intermediate-3-6,fiction,family,,,<p>(author is doing this - teachers can explore with students why the author is doing this)</p>,,,
