Label,Slug,Collection ID,Item ID,Created On,Updated On,Published On
American,american,6165b59ceb6eb941e9286f14,6165b59ceb6eb92498286f5a,Tue Aug 10 2021 17:42:43 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:42:43 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Chinese,chinese,6165b59ceb6eb941e9286f14,6165b59ceb6eb9f3f1286fa2,Wed Sep 15 2021 03:09:01 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 03:09:01 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Cuban,cuban,6165b59ceb6eb941e9286f14,6165b59ceb6eb9bf84286fa3,Wed Sep 15 2021 03:09:15 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 03:09:15 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Hawaiian,hawaiian,6165b59ceb6eb941e9286f14,6165b59ceb6eb90760286f60,Tue Aug 10 2021 17:44:24 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:44:24 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Indian/Hindi,indian-hindi,6165b59ceb6eb941e9286f14,6165b59ceb6eb9bad0286f5d,Tue Aug 10 2021 17:43:41 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:43:41 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Korean,korean,6165b59ceb6eb941e9286f14,6165b59ceb6eb90ee2286f5e,Tue Aug 10 2021 17:43:57 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:43:57 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Korean-American,korean-american,6165b59ceb6eb941e9286f14,6165b59ceb6eb9c6a4286f5f,Tue Aug 10 2021 17:44:03 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:44:03 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Mexican,mexican,6165b59ceb6eb941e9286f14,6165b59ceb6eb948fa286f59,Tue Aug 10 2021 17:42:37 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:42:37 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Mexican-American,mexican-american,6165b59ceb6eb941e9286f14,6165b59ceb6eb9e90b286f5c,Tue Aug 10 2021 17:43:18 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:43:18 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Native American/First Nations,native-american-first-nations,6165b59ceb6eb941e9286f14,6165b59ceb6eb91dca286fa0,Wed Sep 15 2021 02:49:49 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 02:49:49 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Puerto Rican,puerto-rican,6165b59ceb6eb941e9286f14,6165b59ceb6eb95d12286f5b,Tue Aug 10 2021 17:43:09 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 17:43:09 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
