Label,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Animals,animals,6165b59ceb6eb95684286f10,6165b59ceb6eb90c55286fa7,Fri Sep 24 2021 16:45:02 GMT+0000 (Coordinated Universal Time),Tue Sep 28 2021 23:50:43 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Country,country,6165b59ceb6eb95684286f10,6165b59ceb6eb996e4286f50,Tue Jul 20 2021 20:40:18 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:40:18 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Culture,culture,6165b59ceb6eb95684286f10,6165b59ceb6eb96b81286f3b,Tue Jul 20 2021 20:39:33 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:39:33 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Family,family,6165b59ceb6eb95684286f10,6165b59ceb6eb920fc286f3c,Tue Jul 20 2021 20:39:47 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:39:47 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Folk Tales & Fables,folk-tales-fables,6165b59ceb6eb95684286f10,6165b59ceb6eb97b9c286f51,Tue Jul 20 2021 20:40:26 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:40:26 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Food,food,6165b59ceb6eb95684286f10,6165b59ceb6eb940c2286f3d,Tue Jul 20 2021 20:39:53 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:39:53 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
History,history,6165b59ceb6eb95684286f10,6165b59ceb6eb95d0b286fa5,Fri Sep 24 2021 16:13:49 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 16:13:49 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Identity,identity,6165b59ceb6eb95684286f10,6169b3e87dfeda70f76841ee,Fri Oct 15 2021 17:01:28 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 17:01:28 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 17:01:28 GMT+0000 (Coordinated Universal Time)
Relocation,relocation,6165b59ceb6eb95684286f10,6165b59ceb6eb9cacd286f4d,Tue Jul 20 2021 20:39:58 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:39:58 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
School,school,6165b59ceb6eb95684286f10,6169b1058a3b0f2accbf5fe0,Fri Oct 15 2021 16:49:09 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 16:49:09 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 16:49:09 GMT+0000 (Coordinated Universal Time)
Suburban,suburban,6165b59ceb6eb95684286f10,6165b59ceb6eb905d1286f4f,Tue Jul 20 2021 20:40:12 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:40:12 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Traditions/Customs,traditions-customs,6165b59ceb6eb95684286f10,6165b59ceb6eb951e4286f2d,Tue Jul 20 2021 20:39:27 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:39:27 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Urban,urban,6165b59ceb6eb95684286f10,6165b59ceb6eb950c7286f4e,Tue Jul 20 2021 20:40:04 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:40:04 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
